Date,Open,High,Low,Close,Adj Close,Volume
14/12/1981,0.082031,0.082031,0.080915,0.080915,0.063838,25244800
15/12/1981,0.083147,0.083705,0.083147,0.083147,0.0656,31315200
16/12/1981,0.087054,0.087612,0.087054,0.087054,0.068681,65452800
17/12/1981,0.094308,0.094866,0.094308,0.094308,0.074405,51452800
18/12/1981,0.102121,0.102679,0.102121,0.102121,0.080569,71724800
21/12/1981,0.098214,0.098214,0.097656,0.097656,0.077046,56403200
22/12/1981,0.09933,0.099888,0.09933,0.09933,0.078367,53827200
23/12/1981,0.097656,0.097656,0.097098,0.097098,0.076606,28896000
24/12/1981,0.097656,0.098214,0.097656,0.097656,0.077046,28918400
28/12/1981,0.094308,0.094308,0.093192,0.093192,0.073524,36579200
29/12/1981,0.094866,0.095982,0.094866,0.094866,0.074845,24236800
30/12/1981,0.098772,0.09933,0.098772,0.098772,0.077927,32188800
31/12/1981,0.098772,0.09933,0.098772,0.098772,0.077927,54656000
04/01/1982,0.098772,0.098772,0.098214,0.098214,0.077487,71254400
05/01/1982,0.094308,0.094308,0.093192,0.093192,0.073524,35840000
06/01/1982,0.092634,0.092634,0.092076,0.092076,0.072644,66080000
07/01/1982,0.085938,0.085938,0.084821,0.084821,0.06692,70044800
08/01/1982,0.088728,0.089286,0.088728,0.088728,0.070002,56604800
11/01/1982,0.083705,0.083705,0.083147,0.083147,0.0656,33331200
12/01/1982,0.080915,0.080915,0.080357,0.080357,0.063398,59920000
13/01/1982,0.080357,0.080357,0.079799,0.079799,0.062958,41753600
14/01/1982,0.083705,0.084263,0.083705,0.083705,0.06604,25715200
15/01/1982,0.089286,0.090402,0.089286,0.089286,0.070442,46704000
18/01/1982,0.09096,0.092076,0.09096,0.09096,0.071763,28000000
19/01/1982,0.089844,0.089844,0.088728,0.088728,0.070002,55507200
20/01/1982,0.090402,0.09096,0.090402,0.090402,0.071323,25827200
21/01/1982,0.092076,0.092634,0.092076,0.092076,0.072644,33331200
22/01/1982,0.092634,0.093192,0.092634,0.092634,0.073084,24259200
25/01/1982,0.090402,0.090402,0.089844,0.089844,0.070883,44710400
26/01/1982,0.087612,0.087612,0.086496,0.086496,0.068241,21212800
27/01/1982,0.087054,0.08817,0.087054,0.087054,0.068681,31360000
28/01/1982,0.089844,0.090402,0.089844,0.089844,0.070883,39603200
29/01/1982,0.09096,0.091518,0.09096,0.09096,0.071763,53155200
01/02/1982,0.09096,0.09096,0.089844,0.089844,0.070883,38528000
02/02/1982,0.090402,0.091518,0.090402,0.090402,0.071323,54275200
03/02/1982,0.090402,0.09096,0.090402,0.090402,0.071323,31472000
04/02/1982,0.088728,0.088728,0.08817,0.08817,0.069562,22041600
05/02/1982,0.08817,0.088728,0.08817,0.08817,0.069562,40297600
08/02/1982,0.083147,0.083147,0.082589,0.082589,0.065159,31696000
09/02/1982,0.082589,0.083147,0.082589,0.082589,0.065159,57904000
10/02/1982,0.083705,0.084263,0.083705,0.083705,0.06604,38796800
11/02/1982,0.083147,0.083147,0.082589,0.082589,0.065159,24528000
12/02/1982,0.083705,0.084263,0.083705,0.083705,0.06604,19644800
16/02/1982,0.082589,0.082589,0.082031,0.082031,0.064719,34316800
17/02/1982,0.083147,0.083705,0.083147,0.083147,0.0656,25580800
18/02/1982,0.084263,0.084821,0.084263,0.084263,0.06648,28380800
19/02/1982,0.084263,0.084263,0.083705,0.083705,0.06604,13596800
22/02/1982,0.083147,0.083147,0.082589,0.082589,0.065159,26633600
